sentence,cause,effect,is_causal
"“ The movement at large is peaceful, but some young people are overwhelmed by a strong sense of helplessness and they ’ re emotionally charged. ” While a small splinter group was causing trouble at the legislature, 550,000 people marched peacefully through downtown Hong Kong without any scenes of violence or chaos.",,,0
"On Monday, residents blocked the N12 and set alight a municipal office, community hall, houses belonging to the mayor, two councillors and two officials, and several businesses.",,,0
"Speaking beside Lam, police chief Stephen Lo said : “ Protesters ’ violent acts have far exceeded the bottom line of peaceful expressions of demands. ” A joint statement from 41 pro-government lawmakers condemned what they described as “ extremely radical and violent acts ”, such as the occupying of roads and vandalism of the council building.",,,0
"The protesters have mostly been orderly, obeying traffic laws, cleaning up after themselves and allowing ambulances to pass even when tens of thousands are gathered.",,,0
"A miner, who was not speaking English, showed Association of Mineworkers and Construction Union ( Amcu ) leader Joseph Mathunjwa areas where striking mine workers were shot by police.",,,0
Some reports since the event have suggested that several miners were shot dead among rocks a distance from where the police clashed with workers.,,,0
None—who ‘ shoot from the lip and the hip ’ at the same time and come out both barrels blazing whenever the tattered ‘ secular fabric ’ appears ( to them ) endangered—had the courage to even whisper that this time it may have been the work of the ‘ lunatic fringe ’ of miscreants belonging to some other creed.,,,0
"By Tuesday, the protest had spilled over to Coverdale in Christiana where a community hall was torched.",,,0
"If what happened in Malda was a trivial incident, why was so much trouble taken to keep the BJP and CPI(M) fact-finding team out from ‘ ground zero ’ ?",,,0
Some protestors also ransacked two private hospitals in the vicinity and attacked the Ambur Town Station.,,,0
"The protestors, however, split up into small groups and hid themselves on top of some houses in Nellikollai, Housing Board and Pudumannai areas and pelted stones indiscriminately at policemen.",,,0
Their cars were attacked and stoned.,,,0
"On Thursday, another explosion struck a residential area in the city of Liuzhou, a day after the first series of blasts at a number of locations including shopping malls, hospitals and government buildings.",,,0
"June 10, 2009 : Nine security personnel, including CRPF troopers, ambushed by Maoists during a routine patrol in Saranda jungles in Jharkhand.",,,0
"May 22, 2009 : Maoists kill 16 policemen in the jungles of Gadchiroli district in Maharashtra.",,,0
"Three LeT militants, woman killed in J-K encounter - Indian Express Agencies, Agencies : Srinagar, Mon Sep 28 2009, 11:10 hrs Three Lashkar-e-Toiba militants, including two from Pakistan, and an elderly woman were killed in an encounter with security forces in Pulwama district of South Kashmir on Monday.",,,0
"Four jawans were also injured in the encounter but they were all out of danger, police said.",,,0
"Meanwhile, disruption of services in Osmania and Gandhi hospital continues and emergency services in Osmania General Hospital are boycotted by the PG students.",,,0
"Around 1,500 PG students of Gandhi, Osmania and Kakatiya medical colleges are participating in the strike.",,,0
Naxal violence a challenge ; meet soon,,,0
"As many as 217 members of 52 families were forcibly thrown out of their village in June, 2007 by a group of people led by Posco Pratirodha Sangram Samiti ( PPSS ) president Abhaya Sahu.",,,0
"The anti-Posco activists torched our houses, damaged our betel vines and paddy crops and threw us out.",,,0
Constable Sefako Xaba after hundreds of pupils threw stones at police transporting five men accused of murdering 14-year-old Thato Radebe to the Johannesburg prison.,,,0
"About 1,000 angry protesters gathered outside the Alice Magistrates Court on Thursday where four suspects appeared on charges of murdering a Victoria Hospital tutor last year.",,,0
"`` During the protest, a police vehicle came through... and they protesters came rushing towards the vehicle, '' she said.",,,0
The protest over housing started around 6am on Main Reef road.,,,0
Mogale said protesters were burning tree trunks and tyres and throwing stones at vehicles.,,,0
Flash stir by doctors at Gandhi General Hospital,,,0
They shouted slogans against superintendent Dr Asok Kumar and RMO-I Dr BV Rao.,,,0
"Parking contract has been given to some goons who were collecting high rates from students and patients, ” he claimed and warned of intensifying the agitation.",,,0
"`` We simply do not have space for such a detrimental amount of pollution that is to come out from that coal-fired power station, '' the organisation 's project co-ordinator Tristen Taylor said at a protest against the mining company in Johannesburg.",,,0
"Before their court appearance, protestors holding placards with various slogans filled the streets outside the court where a memorandum was handed to magistrate Xolile Dlulisa.",,,0
"CPI volunteers, who attempted to stage a rail roko in Madurai, were rounded up before they entered the town 's railway station.",,,0
"In Cumbum near Theni, CPI activists held a day-long fast.",,,0
"In Theni, the PMK held an unusual form of protest with members sporting a "" patta naamam "" ( holy ash spread across their foreheads ), symbolically signifying betrayal.",,,0
A group of people protested outside the Nelspruit Magistrate 's Court where three men accused of fraud relating to the building of the Mbombela stadium were to appear on Thursday.,,,0
"Over 100 protesters held up posters reading : `` Who killed Jimmy '', `` What happened to Jimmy '' and `` Stop Corruption ''.",,,0
"The memorandum, from the residents of Ward 10 in the Nkonkobe municipality registered resentment and disapproval of the high crime rate in the country, in Alice in particular.",,,0
"About 300 community members began blockading roads around the town and in front of the municipal offices, using rocks, burning tyres and car wrecks at 3.30am, police spokeswoman Captain Charlize van der Linden said.",,,0
`` After some discussion between police and community members they began throwing stones.,,,0
Shortly afterwards protestors gathered again and blockaded the main road between Ganyesa and Vryburg.,,,0
"A group also attempted to attack Pakistani shopkeepers at their premises, Van der Linden said.",,,0
"Residents handed him a memorandum and were told to expect feedback after seven days, which never happened, Van der Linden said.",,,0
"KR Suresh Reddy, former Assembly speaker, and D Sridhar Babu, present Higher Education Minister and son of former Assembly speaker D Sripada Rao, whose fathers had been killed by Maoists in the past, are in the forefront of the Telangana movement.",,,0
"Another minister and legislator from Gadwal, DK Aruna, whose father C Narsi Reddy ( the then Congress MLA ) was brutally killed by Maoists in Mahaboobnagar district, is also playing a key rule lobbying with the Congress high command for formation of Telangana State.",,,0
A number of BJP and ABVP activists were killed by Maoists in the Telangana region in the last several years but they do not think Maoists will dominate after formation of the separate state.,,,0
"Youth beaten up by Bajrang Dal men in Madhya Pradesh 14th February 2009 05:58 PM BHOPAL : A youth accompanying his sister was brutally beaten up by Bajrang Dal activists in Ujjain, while over 50 activists of right-wing Hindu organisations were detained in Gwalior and Bhopal on Valentine 's Day Saturday, Madhya Pradesh police said.",,,0
""" However, the cops posted at a nearby police outpost soon came to their rescue and brought the situation under control.",,,0
People associated with the agitation and others could also submit their suggestions in this regard to the committees.,,,0
"A petition was sent to the Grahamstown area commissioner in June highlighting crime levels in the area, according to the memorandum.",,,0
This is the second time in two weeks the veterans have staged demonstrations outside the minister ’ s official residence.,,,0
A police helicopter monitored the funeral procession from the sky as mourners snaked through the streets of Lichtenburg to the cemetery.,,,0
A kilometre away from the cemetery his coffin was removed from the hearse and community members lifted it shoulder high as they carried it the rest of the way singing liberation songs.,,,0
"African National Congress and Economic Freedom Fighters members sang, chanted, and marched together, displaying their respective party flags.",,,0
After Dlulisa accepted the memorandum the suspects were led handcuffed into the court to jeers from the protestors.,,,0
Almost all the organisations associated with doctors and PG students have expressed their solidarity with the ongoing hunger strike.,,,0
"Meanwhile, the government has warned of disciplinary action against the striking doctors.",,,0
KGMOA leader and president ’ s nominee G S Vijayakrishnan said the government had not called a discussion till now though the fast had entered the sixth day.,,,0
"The leader 's henchmen offered him a "" settlement "" but when he approached the state Lok Ayukta with a complaint of corruption, they attacked him and his wife.",,,0
I was threatened that I will also meet the fate of my daughter but Police did not provide any protection to us.,,,0
"On August 8, about 15 armed goons beat me and my wife mercilessly at my home.",,,0
"Maoist banners found 10th April 2011 05:14 AM KORAPUT : MAOIST banners were found near the District Primary Education Project ( DPEP ) office today in which the ultras threatened to kill Shikhya Sahayak candidates, outsiders to the district, who have been selected to join the service here.",,,0
"Today 's Paper 7 killed, 55 injured in two Assam bomb blasts November 23, 2009 00:00 IST A child injured in a bomb blast being treated at the Gauhati Medical College Hospital on Sunday.",,,0
"ULFA desperate to show its strength after arrests, say police",,,0
Caller tells TV channels that ULFA is not involved in the blasts Guwahati :,,,0
— | Photo Credit : PHOTO : PTI Sushanta Talukdar Police suspect that it is the handiwork of ULFA,,,0
Police suspect that the blasts were the handiwork of the United Liberation Front of Asom ( ULFA ).,,,0
"However, a caller, identifying himself as self-styled commander of the ULFA ’ s 709 Battalion Hira Sarania, told three local television news channels that the outfit was not involved in the blasts.",,,0
“ Two improvised bicycle-bombs were triggered by the ULFA.,,,0
"Maoists, in the banners, have also demanded release of hardcore cadre Ghasi who was arrested by police earlier this week.",,,0
"But in Hong Kong, a similar protest movement is responded to with ever escalating catastrophic projections.",,,0
Labour trouble brews in Jet Airways,,,0
This is the immediate lesson from the two major events involving Odisha MLA Jhina Hikaka and Sukma ( Bastar ) Collector Alex Paul Menon.,,,0
"Dumisani Malunga, 42, and Bheko Chiliza, 39, were shot dead while driving in the Oshabeni area at about 9.30pm on Sunday.",,,0
"On Monday, the African National Congress condemned the shooting of Malunga, the Oshabeni branch chairman, and Chiliza, the branch secretary.",,,0
`` We are very concerned with the killing of our comrades.,,,0
"This is unacceptable and can not be tolerated, '' ANC provincial secretary Sihle Zikalala said in a statement.",,,0
`` We would like to express shock and disgust at the latest killing and we would also like to send our condolences to members of their families. '',,,0
"In July, ANC councillor Wandile Mkhize was shot dead in a drive-by shooting near his home in Manaba, Margate.",,,0
"SIT fails to serve notice on Mani 14th November 2012 10:43 AM The Special Investigation Team ( SIT ), probing the murder of Youth Congress leader Anchery Baby, failed to serve notice for polygraph test on former CPM Idukki secretary M M Mani and another accused Kynakari Kuttan on Tuesday.",,,0
I have spent many days in Admiralty during the protests and in the middle of the night there have been parents with their young daughters handing out apples to protesters.,,,0
"My mum signed the anti-Occupy petition, manipulated by ( journalist ) Robert Chow Yung.",,,0
"Mpofu represents the families of slain miners and the miners who were arrested during labour unrest at Lonmin platinum mine in Rustenburg last year, where 44 people were killed.",,,0
"Prohibitory order extended in Kasargod 17th November 2009 02:14 AM IG Tomin J Thachankary visiting the Bhajan Mandir at Amey Colony, which was ransacked by miscreants, on Sunday.",,,0
The hartal supporters assaulted a police party in Chettukuzhy while they were engaged in removing the road block.,,,0
Assistant Sub Inspector Bhaskaran was attacked by a mob of about 25 hartal supporters.,,,0
The assailants stabbed him on his face with a stone.,,,0
"MUMBAI : Opposition not for relief to Sanjay Dutt October 25, 2013 00:00 IST Maharashtra ’ s opposition parties have objected to any reduction in the prison term being served by actor Sanjay Dutt in the 1993 Mumbai serial blasts case.",,,0
The families of some of the other 1993 serial blasts convicts had also filed pardon petitions.,,,0
"He said that the police have learnt that some notorious elements were present in the crowed, which turned violent.",,,0
A majority of the employees and teachers unions supported the strike.,,,0
Dharnas and demonstrations marked the protest at all towns and divisional headquarters.,,,0
"Led by the Joint Action Committee of Employees Teachers and Workers, a huge rally was organised from pavilion grounds to the Collectorate.",,,0
The protesters squatted in front of the Collectorate.,,,0
Out of 2478 coal workers on the first shift only 1045 attended.,,,0
"In Kothagudem area, the strike could make a little impact.",,,0
"The BJP Doctors ' Cell had organised a mock brain surgery of a person named M S Singh, whose residential address was mentioned as PM House, Delhi in the BJP protest literature on Tuesday.",,,0
civilians and security forces killed in Naxals attacks in 2008.,,,0
The attacks were the first in the city after the Akshardham terror strike of 2002.,,,0
"May 13 : Eight serial bomb blasts at Johari Bazaar, Hanuman temple, Hawa Mahal, Badi Chaupad, Tripolia Bazaar and Chandpole in Jaipur.",,,0
"January 1 : Terrorists struck at the para-military CRPF Group Centre in Rampur, Uttar Pradesh.",,,0
The Lashkar-e-Toiba is suspected to be behind the attack.,,,0
July 16 : CPI-Maoist cadres killed 17 personnel of the Special Operations Group of the Orissa Police in a landmine blast in Malkangiri district.,,,0
An anti-landmine van carrying the police team was returning to the district headquarters town of Malkangiri when they were attacked.,,,0
"July 8 : CPI-Maoist cadres shot dead Ramesh Singh Munda, a Jharkhand Janata Dal-United MLA, along with his two bodyguards and a teenaged boy, at the sub-divisional town of Bundu in Ranchi district.",,,0
May 21 : CPI-Maoist cadres shot dead three persons and injured another at Kotam village in Gumla district of Jharkhand.,,,0
"A group of 200 Maoists attacked the crowded railway station, and looted rifles and ammunition from the GRP armoury.",,,0
"April 10 : Naxals killed six persons belonging to the Sashastra People 's Morcha ( SSM ), an outfit of surrendered Naxals, in Bihar.",,,0
April 1 : Four people killed at Poradih-Chenpur village in Khunti district of Jharkhand.,,,0
Bodies of the victims with their throats slit were recovered on April 2.,,,0
"Several persons, including two policemen, were injured in the clash that lasted nearly an hour.",,,0
"Curfew relaxed in violence-hit areas of Hyderabad - Indian Express Agencies, Agencies : Hyderabad, Sat Apr 03 2010, 11:05 hrs Curfew was relaxed for two hours this morning in some violence-hit areas of the city which witnessed communal clashes last week.",,,0
"Despite the poor weather, supporters sang and danced in the rain to the sounds of gospel and ANC struggle songs.",,,0
It finally ended up in clashes between two communities.,,,0
| Photo Credit : – PHOTO : S. SIVA SARAVANAN Staff Reporter Coimbatore : Family members of police personnel and retired police officials staged a demonstration at Gandhipuram in the city on Friday.,,,0
Demonstrators flayed the advocates for the violent incidents that took place at the Madras High Court premises in Chennai on February 19 this year.,,,0
Protesters also disrupted schools and pelted police with stones and petrol-bombed a Nyala.,,,0
"It all began at around 4 pm at the local MCD school, which is divided into the Urdu - and Hindi-medium sections.",,,0
"Medicos ' hunger strike enters fourth day Posted : Wed May 19 1999 IST PATIALA, MAY 18 : On the call given by the Medicos Action Committee, Patiala, hunger strike of the demonstrating MBBS students entered its fourth day today.",,,0
Reports reaching from Bastar said Naxalites had erected effigies of Union Home Minister P Chidambaram and the Chhattisgarh Chief Minister on the roads in remote areas close to Narayanpur-Orchcha roads.,,,0
""" The effigies could be stuffed with explosives.",,,0
"Earlier in the day, the agitating sanitation workers took out a protest rally from Tummalapalli Kalakshetram to the Collector ’ s Camp Office, where they staged a dharna shouting anti-establishment slogans for a couple of hours.",,,0
SC lifts stay on Gujarat riot cases,,,0
Ex - Congress MP Ehasan Jafri was among those killed in the Gulberg Society riots.,,,0
A Special Bench of Justices D K Jain and P Sathasivam accepted the plea of the SIT for a further 15 days time to submit its report on the Gulberg Society killings.,,,0
"Mthuthuzeli Tom, the president of the National Union of Metalworkers of SA ( Numsa ) said during a march to the offices of the Fuel Retailers Association ( FRA ) and the Retail Motor Industry ( RMI ) that it is better for their members to suffer now than to keep on suffering.",,,0
Brickbats flew from all directions and a few knives were also flashed.,,,0
"Reading their memorandum, Numsa regional secretary Jack Bezuidenhout said : `` The 'no wage ' offer attitude of the industry is disgusting and stinking.",,,0
There were also efforts to attack a local cable channel cameraman.,,,0
"The festival was interrupted for almost one hour, ” C Manoj Kumar, organising committee member of the fest, said.",,,0
"Personnel from the local police station, which is less than half-a-kilometre from the spot, reached 20 minutes after the clashes broke out.",,,0
"The arrival of the police did not deter the mob, which continued with the brickbatting from the safety of their houses.",,,0
The residents told the CM that it was not the residents of the area who indulged in fighting.,,,0
Even as the police were rounding up the suspects and interrogating Chanda -- the prime suspect and a known ruffian -- a stone flew and landed near the area SDM Prakash Chandra.,,,0
The seven-km long padyatra by the Congress from Manoharpur to Salipur was attended by party supporters and farmers.,,,0
Home guards ran in the direction from which the stone had been hurled and caught hold of a teenaged boy and dragged him in the direction of the local police station.,,,0
Northam Platinum 's management acknowledged receipt of a memorandum from striking mineworkers at its head office in Johannesburg on Tuesday.,,,0
"Workers at the company 's Zondereinde mine, near Amandelbult in Limpopo, went on strike on November 3.",,,0
"Another bomb went off in Bronkhorstspruit, Mpumalanga.",,,0
Selebi said police can positively place at least one of the men at the scene of the Soweto blasts.,,,0
The mixture was similar to the once used in the Gauteng and Mpumalanga bombs.,,,0
The rally culminated in a public meeting where senior Congress leaders held the BJD government responsible for the spate of farmer suicides in the State since September.,,,0
Functioning of the offices was disrupted for some time.,,,0
"The release claimed that nearly 1,000 workers, who operate services within the city, are on strike.",,,0
Many senior party leaders joined PCC president Prasad Harichandan in the padyatra and addressed the gathering criticising Chief Minister.,,,0
Issued by : ANC Attention : News Editors For immediate release : ANC STATEMENT ON IFP DISRUPTING CAMPAIGNING LED BY ANC DEPUTY PRESIDENT JACOB ZUMA,,,0
The unruly group of IFP members blockaded the entrance of a fishery firm at Dokodweni where Comrade Zuma was to address about 300 workers.,,,0
ANC Deputy President Zuma and campaigners then proceeded to Sundumbili township at Mandeni where hundreds of teachers were holding a meeting.,,,0
"What was interesting was that on the other side of the road, scores of residents were again ululating and chanting ANC ! !",,,0
"The students, aged between 17 and 28, were arrested as a group of about 3,000 angry students ringed by riot policemen gathered at the institution in April.",,,0
Saturday ’ s was the third phase of the Jana Jagaran padyatra.,,,0
"The MLAs, along with a large number of party supporters, raised slogans against the government and condemned the attack on the woman MLA.",,,0
The protesters chanted ' Poor management destroys owners ' outside the recreational centre in Shekou.,,,0
"The party had organised the first two phases of the padyatra at Angul and Dhenkanal, and Nuapada and Nabarangpur.",,,0
"He also recalled the incident when a ' pipe ' bomb, targeting BJP leader LK Advani who was on a tour then, was found and diffused in October 2011 near Madurai.",,,0
"Referring to her criticism on his continuing in power after the serial blasts in Coimbatore in 1998, he sought the Chief Minister 's explanation on why none has been arrested in connection with the May 1 Central station twin bomb blasts.",,,0
"Workers from the upstart Association of Mineworkers and Construction Union ( AMCU ) at the mine 's Thembelani shaft in Rustenburg have refused to come out since the 4am ( 0200 GMT ) shift started, according to George Tyobeka, an AMCU leader.",,,0
"Around 3,000 to 4,000 people were striking, he added.",,,0
"Abhishek Banerjee, nephew of the chief minister had said : "" The Mamata Banerjee government, by killing him, has proved that in days to come, people will have the final word. "" Communist Party of India-Maoist leader Koteswar Rao alias Kishenji was killed on November 24, 2011 in a gun battle in West Midnapore district near the Bengal-Jharkhand border.",,,0
"KERALA Congress alone can form stable government : Sonia April 09, 2009 00:00 IST A A A Campaign in full swing : Thiruvananthapuram DCC president V.S. Sivakumar, senior leader K. Karunakaran, deputy leader of the Opposition G. Karthikeyan, UDF candidates in Attingal and Thiruvananthapuram G. Balachandran and Shashi Tharoor, Congress president Sonia Gandhi and Leader of the Opposition Oommen Chandy at a UDF election meeting in the city on Wednesday evening.",,,0
"Addressing an election rally here on Wednesday evening, Ms. Gandhi said the Congress which had never compromised with communal and terrorist forces had no lessons to take from the Left parties or the BJP in tackling terrorism and communalism.",,,0
The BJD had also organised a rally in Bargarh district a few days ago in western Odisha where more farmers had taken the extreme step.,,,0
KPCC president Ramesh Chennithala presided over the meeting.,,,0
Service delivery protests turned violent over the weekend with sections of the N14 being blockaded.,,,0
The party workers were also involved in a similar incident last Sunday when they manhandled a news channel cameraman while shooting the fighting of a few Congress workers outside the District Congress Committee office.,,,0
But the attacks by Congress workers in Malappuram district have tarnished him and the yatra.,,,0
"Speaking to reporters, he said in the last one year, three state-level leaders—Aravinth Reddy, Murugan and Vellaiyan—have been murdered and the assailants were still at large.",,,0
"This incident came close in the heels of the killing of Vellaiyan, the state secretary of Hindu Munnani, in Vellore.",,,0
"Chennai also saw such an incident when Vital, a ward secretary of the party, was found dead in Koyambedu in April 2012.",,,0
The incident was condemned by leaders across political parties including by Tamil Nadu Congress Committee president B S Gnanadesikan and PMK leader S Ramadoss.,,,0
"Heavily armed militants of the outlawed Dima Haolam Daogah ( DHD ), popularly known as the Black Widow, attacked three security posts in Langting area of North Cachar Hills, about 320 km south of Assam 's main city Guwahati.",,,0
"Speaking on the occasion, eminent poet and environmental activist D Vinayachandran said Vellayani lake was one of the two freshwater lakes in the State.",,,0
Amcu announced on Monday that the platinum strike was officially over and it would sign wage agreements with the platinum producers.,,,0
"In a scathing attack on the PMK at a press meet, Thirumavalavan, said the violence was not spontaneous.",,,0
"Narrating the sequence of events before the clash, he said properties of the Dalits were plundered systematically.",,,0
"' Did Indian Mission Facilitate Vaidik-Saeed Meet ' 15th July 2014 12:03 PM NEW DELHI : Describing journalist Ved Pratap Vaidik as an "" RSS man "", Rahul Gandhi today questioned whether the Indian High Commission in Islamabad had facilitated the meeting between him and Mumbai attack mastermind Hafiz Saeed.",,,0
"Protesters threw stones at motorists on the R114, between Malibongwe and Cedar roads, on Monday morning, Johannesburg metro police said.",,,0
It was not immediately known what the protest was about.,,,0
North West premier Thandi Modise on Sunday condemned the burning of a tribal office and a municipal councillor 's house in Khunotswane village outside Zeerust.,,,0
North West police said a group of people gathered next to the Bahurutshe Ba-Ga Moiloa tribal office on Friday evening burning tyres and singing struggle songs.,,,0
`` Some of the people burned the tribal office while the other proceeded to the councillor 's yard and burned the two-roomed house and broke windows of her newly built house. '',,,0
"When police arrived some people started throwing stones at them, said Ngubane.",,,0
"The Cecelia Makiwane Hospital in East London was again the scene of anger and protest on Tuesday, following the death of four babies at the hospital last week, the SABC reported.",,,0
Chanting ' Abolish the levy.,,,0
"Wage increase now ' in English and Chinese, the group marched from Chater Road to the Central Government Offices.",,,0
Hundreds of domestic helpers who were resting under the HSBC building cheered loudly as protesters passed through.,,,0
"Protest heldAs a part of the on-going nation-wide agitation, the employees of the insurance companies held a demonstration in front of the regional office of the National Insurance Company Limited in Sector 35 here.",,,0
The call was given by the Joint Front of Trade Unions of the GIC and the LIC.The front has given a call to hold daily protest demonstrations until Parliament session gets over.,,,0
Activists demand child rights,,,0
"Friday was the concluding day of Rahul ’ s three-day tour of Amethi where he launched several important projects, addressed party workers, met members of women ’ s self-help groups and held a public meeting, besides reviewing various development works.",,,0
"Earlier in Amethi, around 2,000 people attended a ‘ janata darbar ’ ( people ’ s court ) held by Rahul wherein he patiently listened to public grievances, said state Congress spokesperson Akhilesh Pratap Singh.",,,0
"’ 93 blasts : SC to deliver verdict today 21st March 2013 07:54 AM Twenty years and a week after the serial blasts rocked Mumbai on March 12, 1993, the Supreme Court will be delivering its judgment in the case on Thursday.",,,0
"The coordinated attacks on a Friday, are said to be the most destructive bomb explosions in Indian history.",,,0
"Sainath Metri, taluk panchayat member ; Pandurang, Yeshwant Datekar, Mahadev Kumtekar and Narayan Govekar, leaders of fishermen who led the agitation, told presspersons that the officials would forget the development of road after the inauguration of the bridge.",,,0
The striking VRAs called on Kavitha at Telangana Bhavan here on Thursday and poured out their grievances before her.,,,0
PUSU stages protest outside V-C office,,,0
"We held two protests before Tuesday 's action, and received nothing but broken promises from the WCED.",,,0
"Images of Xi holding a yellow umbrella, a symbol of the 2014 pro-democracy protests, would also be removed by police.",,,0
"Polling peaceful barring one death, skirmishes",,,0
"In all, 30 incidents were reported from various districts and 31 Electronic Voting Machines ( EVMs ) were damaged.",,,0
"In Kadapa district, EVMs were damaged at 19 polling stations at Rayachoti, Pulivendula, Kamalapuram, Rajampet, Mydukuru and Budvel.",,,0
"In Pulivendula and Kamalapuram alone, EVMs were damaged at seven polling stations each.",,,0
Miscreants either poured water on the machines or damaged them with sticks.,,,0
"In Anantapur district, EVMs were damaged at eight polling stations while in Prakasam, the machines were damaged at six polling stations.",,,0
"EVMs were damaged at two polling stations each in Guntur and West Godavari districts, and one polling station each in Chittoor, East Godavari and Krishna districts.",,,0
Some members of the groups even hurled crude bombs but none was injured.,,,0
"There were complaints about polling agents being kidnapped in Kadapa, Anantapur and Kurnool districts which are being verified.",,,0
"At Pitchaturu village in Satyaveedu constituency of Chittoor district, a polling officer was manhandled by the polling agents and the police is verifying the case.",,,0
"Senior police officials, while referring to it as a major achievement, said there were only 30 incidents when compared to the 350 incidents during the 2004 elections.",,,0
"Moreover, there was no loss of life or injuries to any person resulting out of use of fire arms or explosives by the warring groups, police officials said.",,,0
"For three days, the 600 inmates at the Tahirpur Custodial Home for Leprosy Patients were on a hunger strike, they had locked up superintendent Mrityunjay Joseph and welfare officer Dharmendra Prasad, who had been transferred.",,,0
"One day, however, he inadvertently misspoke, shouting “ Down with Mao Zedong ! ” instead.",,,0
"In the 1980s, there was a series of student protests in China, culminating in the Tiananmen demonstrations of 1989, when not just students but city dwellers all across the country joined the rallies.",,,0
He warned the DA about what happened when it marched to the Congress of SA Trade Unions ' office two years ago.,,,0
In a memorandum handed to an official they demanded an explanation from health MEC Sibongiseni Dhlomo.,,,0
Absolve cases against Telangana students : KCR 29th August 2010 12:36 AM HYDERABAD : TRS President K Chandrasekhar Rao today demanded that Andhra Pradesh government absolve police cases registered against the students from Telangana region during the recent separate statehood agitations.,,,0
"Wary of Sena, migrants get into a huddle MUMBAI, NOVEMBER 26 As many as 80 migrants from Bihar and Uttar Pradesh  shopkeepers to businessmen and politicians  huddled in a hastily-called meeting at Andheri on Tuesday.",,,0
HYDERABAD : ‘ Rail roko ' plan for 36 hours,,,0
"As the general strike entered the 11 { + t } { + h } day on Friday, autorickshaw driver unions also announced a two-day-long bandh till Sunday midnight.",,,0
Several of the protesters had banners and placards.,,,0
"Muck on road after SP leader, supporters beat up LMC men - Indian Express Express News Service, Express News Service : Lucknow, Wed Jul 11 2012, 04:20 hrs A Samajwadi Party leader and his supporters allegedly beat up three Lucknow Municipal Corporation sanitation workers and manhandled a constable in Thakurganj area on Tuesday.",,,0
"Arun, who is the sanitation supervisor of the area, alleged he was asked to clean the streets by Pandey in the morning but before he could send his workers, Pandey and his supporters came to Jhabban ki Bagiya and started beating him, his brother Anil, colleague Sachidanand and other workers.",,,0
Pandey 's supporters also allegedly manhandled constable Rahul Kushwaha who had gone to control the situation.,,,0
A section of students staged a protest.,,,0
TAMIL NADU CITU demonstrations at various places,,,0
"However, of the 38 counselling centres in Seemandhra region, 20 are still non functional following the protests.",,,0
"The residents said the SI had used unparliamentary language when they were staging a road roko, over supply of drinking water.",,,0
Residents of Ambedkar Street and Mariamman Koil Street held a road roko on Arni Road around 8.30 am on Wednesday.,,,0
"So, instead of water being supplied at 7 am, it will be supplied at 4 pm. ”",,,0
"When asked to comment on Pakistani flags being raised in Kashmir, Thackeray said, "" Have n't seen it happen in a long time.",,,0
by Jonisayi Maromo and Malegabe Motsepe Police struggled to control thousands of striking teachers ' union members at the Union Buildings in Pretoria on Wednesday.,,,0
"They also wielded placards reading : `` Angie does n't know anything '', and `` Away with declaring education an essential service ''.",,,0
One protester shouted : `` This can be another Marikana.,,,0
"While tourists visiting the Union Buildings used cameras and cellphones to photograph the protest, the vendors outside packed up their wares.",,,0
"`` The protest is out of concern by Sadtu that our education in this country needs a lot of fixing, '' said Dlamini.",,,0
Sadtu members have been on a national go-slow since pupils returned from the Easter holiday.,,,0
"Earlier, under the aegis of Swabhiman, hundreds of people tried to barge into the BMC headquarters near the CST.",,,0
"`` The bombings, which have been ascribed to Afrikaners, is a clear sign of the serious alienation being experienced by Afrikaners with respect to their situation in South Africa. ''",,,0
"It condemns last week 's nine bomb blasts in Soweto, south of Johannesburg, saying acts of sabotage can not be condoned.",,,0
Party State secretary Ilankumar Sampath led the agitation.,,,0
In its letter -- released to the media -- the Group of 63 calls for the underlying causes of these actions to be examined and addressed.,,,0
"Municipal Commissioner Md. Abdul Azeem urged the employees to suspended their protest, and attend to their duties.",,,0
"Till then, cooperate. ”",,,0
No end in sight to AIIMS deadlock yet,,,0
They are not even bothering to talk to us even eight days after the strike.,,,0
And the call for strike was given over a month ago.,,,0
The agitation was organised by the Tiruchi buran district unit of the BJP.,,,0
His letter drew attention to the recent riots in London.,,,0
"The scale of violence in Hong Kong and London simply cannot be compared, but there are perhaps some similarities for the staunchly pro-government DAB to ponder.",,,0
"When the Opposition members boycotted the House proceedings of the day at the end of their virulent protests and demands for the resignation of ‘ corrupt ’ Chief Minister Oommen Chandy and Excise Minister K Babu, an anxious crowd of Assembly staff and watch and ward personnel were looking at the crown of a big coconut tree, where a middle-aged person was staging a protest under the scorching sun and swaying palm fronds.",,,0
""" I do n't even recognise Ram Madhav, "" he said when asked why the RSS leader was allowed on stage during the Jantar Mantar agitation.",,,0
Protests worsen Tung 's bad marks,,,0
"In an interview published this week, and at his meetings with Beijing leaders, Financial Secretary Donald Tsang Yam-kuen sought to play down the protests.",,,0
"' What is worrying is the kind of unexpected confrontation between police and students outside the Government Headquarters this week, ' he said.",,,0
"BEST strike is off, talks to continue Posted : Fri Oct 09 1998 IST MUMBAI, October 8 : The three-day-old strike by Brihunmumbai Electric Supply and Transport undertaking has been called off.",,,0
"So what has the three-day strike which put the common man through the wringer, finally achieved ?",,,0
No action will be taken against any agitating employee.,,,0
